Symbol	Description
AA.P	Alcoa Inc Pf 3.75
AADR	BNY Mellon Focused Growth ADR ETF
AAU	Almaden Minerals
ABCS	ABC High Dividend Guggenheim
ABI	Safety First Trust
ACCU	Global Opportunities ETF Accuvest
ACIM	SPDR MSCI ACWI IMI
ACU	Acme United Corporation.
ACWV	All Country World Min Vol MSCI Ishares
ACY	Aerocentury
ADGE	American Dg Energy Inc.
ADK	Adcare Health Systems Inc
ADZ	DB Agriculture Short ETN Powershares
AE	Adams Resources & Energy
AFK	Africa Index ETF Market Vectors
AGA	DB Agriculture Dble Short ETN Powershares
AGEM	GEMS Composite ETF Egshares
AGF	DB Agriculture Long ETN Powershares
AGG	Aggregate Bond Ishares
AGLS	Global Long/Short ETF Accuvest
AGOL	Physical Asian Gold
AGQ	Ultra Silver Proshares
AGRG	Russell Aggressive Growth ETF
AGX	Argan
AGZ	Agency Bond Ishares
AHB	Safety First Trust
AHY	Safety First Trust
AIA	S&P Asia 50 Index Ishares
AIM	Aerosonic Corp.
AJB	Safety First Trust
AKN	Safety First Trust
ALD	Asia Local Debt ETF Wisdomtree
ALFA	Alphaclone Alternative Alpha Et
ALN	American Lorain Corp.
ALT	Diversified Alternatives Trust Ishares
ALTL	RBS US Large Cap Alternator Exc
ALUM	G-X Aluminum ETF
AMJ	Alerian MLP Index ETN Jpmorgan
AMLP	Alps Alerian MLP ETF
AMM	Safety First Trust
AMPS	Utilities Sector Bond Ishares
AMS	American Shared Hospital Services
AMU	Etracs Alerian MLP Index ETN
AND	G-X FTSE Andean 40 ETF
ANGL	Fallen Angel HY Bond ETF Market Vectors
ANV	Allied Nevada Gold Corp
ANX	Adventrx Pharmaceuticals
AOA	S&P Aggressive Allocation Ishares
AOK	S&P Conservative Allocation Ishares
AOM	S&P Moderate Allocation Ishares
AOR	S&P Growth Allocation Ishares
API	Advanced Photonix
APP	American Apparel Inc
APT	Alpha Pro Tech
APTS	Preferred Apartment Communities
AQ	Acquity Group Limited American
AQQ	American Spectrum Realty
ARGT	G-X FTSE Argentina 20 ETF
ARR.W	Armour Residential REIT Inc. W
ASEA	G-X FTSE Asean 40 ETF
ASM	Avino Silver & Gold
ATA	Safety First Trust
ATC	Cycle Country Accessories Corp.
ATL	Anooraq Resources Corp.
AUD	Australia Bond Index ETF Pimco
AUMN	Golden Minerals Co.
AUNZ	Australia & NZ Debt Wisdomtree
AUSE	Australia Dividend Wisdomtree
AVL	Avalon Rare Metals
AWX	Avalon Holdings Corp.
AXDI	ACWI Ex-US Cnsmr Dscrtn MSCI Ishares
AXEN	ACWI Ex-US Energy MSCI Ishares
AXHE	ACWI Ex-US Health Care MSCI Ishares
AXID	ACWI Ex-US Industrials MSCI Ishares
AXIT	ACWI Ex-US Info Tech MSCI Ishares
AXJL	Asia Pacific Ex-Japan Wisdomtree
AXK	Accelr8 Technology Corp.
AXMT	ACWI Ex-US Materials MSCI Ishares
AXN	China Aoxing Pharmaceutical Company
AXSL	ACWI Ex-US Cnsmr Staples MSCI Ishares
AXTE	ACWI Ex-US Telecom Services MSCI Ishares
AXU	Alexco Resource Corp
AXUT	ACWI Ex-US Utilities MSCI Ishares
AXX	Alderon Iron Ore Corp
AYT	GEMS Asia 8 ETN Ipath
AZC	Augusta Resource Corp.
AZK	Aurizon Mines
BAA	Banro Corp.
BAB	Build America Bond Powershares
BABS	SPDR Build Amer Bd Barclays Capital
BABZ	Build America Bond Strategy ETF Pimco
BAL	DJ-UBS Cotton TR Sub-Idx ETN Ipath
BARL	S&P 500 Crude Oil ETN Morgan Stanley
BBH	Biotech ETF Market Vectors
BBRC	Egshares Beyond Brics ETF
BCM	Broad Commodity Pure Beta ETN Ipath
BCV	Bancroft Convertible Fund
BDCL	2X Wells Fargo Bus Dv Cm ETN UBS E-Tracs
BDCS	Wells Fargo Bus Dev Comp ETN UBS E-Tracs
BDD	DB Base Metals Dble Long ETN Powershares
BDG	DB Base Metals Long ETN Powershares
BDL	Flanigan's Enterprises
BDR	Blonder Tongue Laboratories
BFY	Blackrock New York Muni Trust II
BHB	Bar Harbor Bankshares
BHV	Blackrock Virginia Muni Trust
BIK	SPDR S&P BRIC 40
BIL	SPDR 1-3 Month T-Bill Barclays Capital
BIR-A	Berkshire Rlty 9.00A
BIV	Interm-Term Bond ETF Vanguard
BJK	Gaming ETF Market Vectors
BKF	BRIC Index MSCI Ishares
BKJ	Bancorp Of New Jersey Inc
BKLN	Senior Loan Portfolio Powershares
BKR	Baker [Michael] Corp.
BLE	Blackrock Muni Income Trust II
BLJ	Blackrock New Jersey Muni Trust
BLND	DJ-UBS Commodity 246 Bf ETN UBS E-Tracs
BLNG	Precious Metals Pure Beta ETN Ipath
BLV	Long-Term Bond Index ETF Vanguard
BMJ	Birks & Mayors Inc.
BND	Total Bond Market ETF Vanguard
BNO	US Brent Oil
BNPC	Stream S&P Dynamic Roll Global
BOIL	Ultra DJ-UBS Natural Gas Proshares
BOM	DB Base Metals Dble Short ETN Powershares
BOND	Total Return ETF Pimco
BONE	Bacterin Intl Hldgs
BONO	Latam Aggregate Bond ETF Market Vectors
BOS	DB Base Metals Short ETN Powershares
BPS	Blackrock Pennsylvania Strategic Muni
BQY	S&P Quality Rankings Glbl Equ Mngd TR
BRAF	G-X Brazil Financials ETF
BRAQ	G-X Brazil Consumer ETF
BRAZ	G-X Brazil Midcap ETF
BRD	Apollo Gold Corp.
BRF	Brazil Smallcap ETF Market Vectors
BRN	Barnwell Industries
BRXX	Brazil Infrastructure Egshares
BSCC	2012 Corp Bond Bulletshares Guggenheim
BSCD	2013 Corp Bond Bulletshares Guggenheim
BSCE	2014 Corp Bond Bulletshares Guggenheim
BSCF	2015 Corp Bond Bulletshares Guggenheim
BSCG	2016 Corp Bond Bulletshares Guggenheim
BSCH	2017 Corp Bond Bulletshares Guggenheim
BSCI	2018 Corp Bond Bulletshares Guggenheim
BSCJ	2019 Corp Bond Bulletshares Guggenheim
BSCK	2020 Corp Bond Bulletshares Guggenheim
BSJC	2012 HY Crp Bond Bulletshares Guggenheim
BSJD	2013 HY Crp Bond Bulletshares Guggenheim
BSJE	2014 HY Crp Bond Bulletshares Guggenheim
BSJF	2015 HY Crp Bond Bulletshares Guggenheim
BSJG	2016 HY C Bd ETF Bulletshares Guggenheim
BSJH	2017 HY C Bd ETF Bulletshares Guggenheim
BSJI	2018 HY C Bd ETF Bulletshares Guggenheim
BSQ	Bank Of America Corp.
BSV	Short-Term Bond ETF Vanguard
BTAH	US High Beta Market Neutral ETF Quantshares
BTAL	US Anti-Beta Fund Market Neutral Quantshares
BTC	Community Bankers Trust Corporation.
BTI	British American Tobacco Industries
BTN	Ballantyne Strong Inc
BTX	Biotime
BUND	Germany Bond Index ETF Pimco
BUNL	DB German Bund ETN Powershares
BUNT	DB 3X German Bund ETN Powershares
BVX	Bovie Medical Corp.
BWL.A	Bowl Amer Inc Cl A
BWV	CBOE S&P 500 Buywrite Index ETN Ipath
BWX	SPDR Intl Treasury Bond Barclays Capital
BWZ	SPDR S/T Intl Treasury Bond Barclays Capital
BXDC	Short C Lvgd Inv S&P 500 TR ETN Barclays
BXE	Bellatrix Explor
BXUB	Long B Leveraged S&P 500 TR ETN Barclays
BXUC	Long C Leveraged S&P 500 TR ETN Barclays
BZC	Breeze-Eastern Corp.
BZF	Brazilian Real Dreyfus Wisdomtree
BZM	Blackrock Maryland Muni Trust
BZQ	Ultrashort MSCI Brazil Proshares
CAD	Canada Bond Index ETF Pimco
CAFE	Coffee Pure Beta ETN Ipath
CAK	Camac Energy Inc.
CANE	Teucrium Sugar
CAPE	Barclays ETN Schiller Cape
CAW	Cca Industries
CBND	SPDR Issuer Scd Corp Bond Barclays Capital
CBP	China Botanic Pharmaceutical Inc.
CCA	Mfs California Insured Muni Trust
CCF	Chase Corp.
CCX	Commodity Currency Dreyfus Wisdomtree
CCXE	Commodity Country Equity Wisdomtree
CDY	Cardero Resource Corp.
CEF	Central Fund Of Canada
CEMB	Emrg Mkts Corporate Bond Fund Ishares
CEP	Constellation Energy Partners Llc
CET	Central Securities Corp.
CEV	Eaton Vance California Muni Income Trust
CEW	Emerging Currency Dreyfus Wisdomtree
CFD	Nuveen Diversified Commodity Fund
CFP	Cornerstone Progressive Return Fund
CFT	Credit Bond Ishares
CGR	Claude Resources
CGW	S&P Global Water Index Guggenheim
CH	Aberdeen Chile Fund
CHEP	US Value Fund Market Neutral ETF Quantshares
CHGS	China Gengsheng Minerals
CHIE	G-X China Energy ETF
CHII	G-X China Industrials ETF
CHIM	G-X China Materials ETF
CHIQ	G-X China Consumer ETF
CHIX	G-X China Financials ETF
CHLC	Renminbi Bond ETF Market Vectors
CHOC	Cocoa Pure Beta ETN Ipath
CHXX	China Infrastructure Egshares
CIK	Credit Suisse Asset Management
CIU	Intermediate Credit Bd Ishares
CIX	Compx International Inc.
CKX	Ckx Lands
CLM	Cornerstone Strategic Value Fund
CLY	10+ Year Credit Bond Ishares
CMBS	CMBS Bond Ishares
CMD	Ultrashort DJ-UBS Commodity Proshares
CMF	S&P CA Amt-Free Municipal Bd Ishares
CMFO	China Marine Food Group
CMT	Core Molding Technologies Inc
CNAM	China Armco Metals
CNDA	IQ Canada Smallcap ETF
CNPF	G-X Canada Preferred ETF
CNR	China Metro-Rural Holdings
CNY	RMB/USD ETN Market Vectors
COBO	USD Covered Bond Proshares
COLX	Colombia ETF Market Vectors
CONG	Russell Consistent Growth ETF
COPX	G-X Copper Miners ETF
CORN	Teucrium Corn
CORP	Investment Grade Corp Bd Index ETF Pimco
COVR	Cover-All Technologies Inc
COW	DJ-UBS Livestock TR Sub-Idx ETN Ipath
CPER	US Copper
CPHI	China Pharma Holdings
CPI	IQ Real Return ETF
CQP	Cheniere Energy Partners Lp
CQQQ	China Technology ETF Guggenheim
CRBQ	CRB Global Commodity Equity
CRC	Chromcraft Revington
CRF	Cornerstone Strategic Return Fund
CRM.W	Salesforce.Com
CRMD	Cormedix Inc
CROC	Proshares Ultrashort Australian
CROP	IQ Global Agribusiness Smallcap ETF
CRUD	Teucrium WTI Crude Oil
CRV	Coast Distribution System
CRVP	Crystal Rock Holdings
CSD	Spin-Off Guggenheim
CSJ	1-3 Year Credit Bond Ishares
CSLS	Long/Short Liquid Idx ETN Credit Suisse
CSM	Credit Suisse 130/30 Proshares
CSMA	Merger Arbi Liquid Idx ETN Credit Suisse
CSMB	Merger Arbi Liquid 2X Idx ETN Credit Suisse
CSMN	Market Neut Global Eq ETN Credit Suisse
CTNN	Cotton Pure Beta ETN Ipath
CTO	Consolidated-Tomoka Land Co.
CTP	Ctpartners Executive Search Inc.
CUO	Continental Materials Corp.
CUPM	Copper Pure Beta ETN Ipath
CUR	Neuralstem
CURE	Healthcare Bull 3X Direxion
CUT	Timber Guggenheim
CVM	Cel-Sci Corp.
CVOL	C-Tracks Citi Volatility Index TR ETN
CVR	Chicago Rivet & Machine Co.
CVRT	Convertible Securities Powershares
CVU	CPI Aerostructures
CVY	Multi Asset Income Guggenheim
CWB	SPDR Convertible Secs Barclays Capital
CWI	SPDR MSCI ACWI [Ex-Us]
CXA	SPDR CA Muni Bd Barclays Capital
CXM	Cardium Therapeutics
CXZ	Crosshair Exploration & Mining Corp
CYB	Chinese Yuan Dreyfus Wisdomtree
CZA	Midcap Core Guggenheim
DAG	DB Agriculture Dble Long ETN Powershares
DBA	DB Agriculture Powershares
DBB	DB Base Metals Powershares
DBBR	DB-X Brazil Hedged Equity MSCI ETF
DBC	DB Commodity Index Tracking Powershares
DBCN	DB-X Canada Hedged Equity MSCI ETF
DBE	DB Energy Powershares
DBEF	DB-X EAFE Hedged Equity MSCI ETF
DBEM	DB-X Emerging Mkts Hdgd Equity MSCI ETF
DBJP	DB-X Japan Hedged Equity MSCI ETF
DBO	DB Oil Powershares
DBP	DB Precious Metals Powershares
DBS	DB Silver Powershares
DBU	Global Ex-US Utilities Wisdomtree
DBV	DB G10 Currency Harvest Powershares
DCNG	Seasonal Natural Gas ETN Ipath
DDG	Short Oil & Gas Proshares
DDM	Ultra DOW 30 Proshares
DDP	DB Commodity Short ETN Powershares
DEE	DB Commodity Dble Short ETN Powershares
DEF	Defensive Equity Guggenheim
DEFL	DB US Deflation ETN Powershares
DEJ	Dejour Enterprises Ltd
DEM	Emrg Mkts Equity Inc Wisdomtree
DES	Smallcap Dividend Wisdomtree
DEW	Global Equity Income Wisdomtree
DFE	Europe Smallcap Dividend Wisdomtree
DFF	Bank Of America Corp.
DFJ	Japan Smallcap Dividend Wisdomtree
DFVS	US Trsy 5-Year Bear ETN Ipath
DGAZ	3X Inverse Natural Gas ETN Velocityshares
DGL	DB Gold Powershares
DGLD	3X Inverse Gold ETN Velocityshares
DGP	DB Gold Double Long ETN Powershares
DGS	Emrg Mkts Smallcap Div Wisdomtree
DGT	SPDR Global DOW ETF
DGZ	DB Gold Short ETN Powershares
DHS	Equity Income Wisdomtree
DHY	Credit Suisse High Yield Bond Fund
DIA	SPDR DOW 30 ETF
DIG	Ultra Oil & Gas Proshares
DIM	Intl Midcap Dividend Wisdomtree
DIRT	Agriculture Pure Beta ETN Ipath
DIT	Amcon Distributing Company
DIVS	Russell Smallcap High Dividend Yld ETF
DJCI	DJ-UBS Commodity Idx TR ETN UBS E-Tracs
DJP	DJ-UBS Commodity Idx TR ETN Ipath
DLA	Delta Apparel
DLBL	US Trsy Long Bond Bull ETN Ipath
DLBS	US Trsy Long Bond Bear ETN Ipath
DLN	Largecap Dividend Wisdomtree
DLS	Intl Smallcap Dividend Wisdomtree
DMF	Dreyfus Muni Income
DNL	Global Ex-US Growth Wisdomtree
DNN	Intl Uranium Corp
DNO	US Short Oil
DOD	DJ High Yield Select 10 ETN Elements
DOG	Short DOW 30 Proshares
DOIL	3X Inverse Brent Crude ETN Velocityshares
DOL	Intl Largecap Dividend Wisdomtree
DON	Midcap Dividend Wisdomtree
DOO	Intl Div Ex-Financials Wisdomtree
DPK	Dev Mkts Bear 3X Direxion
DPU	DB Commodity Long ETN Powershares
